slug,current_title,fit,proposed_character,proposed_franchise,confidence,needs_owner_review,notes
dp-acid-wash-zoro-2,Zoro Bushido Acid Wash Tee,acid-wash,Zoro,One Piece,high,no,
dp-acid-wash-dbz-1,Majin Vegeta Acid Wash Tee,acid-wash,Vegeta,Dragon Ball,high,no,
dp-acid-wash-yamoto,Yamoto Inferno Acid Wash Tee,acid-wash,,,none,yes,Contains flagged term 'yamoto'. Original / uncategorized design.
dp-drop-shoulder-baby,Cupid Vintage Drop Shoulder Tee,drop-shoulder,,,none,yes,Contains flagged term 'cupid vintage'. Original / uncategorized design.
dp-acid-wash-evil,See No Evil Acid Wash Tee,acid-wash,,,none,yes,Contains flagged term 'see no evil'. Original / uncategorized design.
dp-acid-wash-titan,TITAN ACID WASH TEE,acid-wash,,,none,yes,Contains flagged term 'titan'. Original / uncategorized design.
dp-acid-wash-speed,Formula Speed Acid Wash Tee,acid-wash,,,none,yes,Contains flagged term 'formula speed'. Original / uncategorized design.
dp-acid-wash-berserk-skull-blade,BERSERK SKULL BLADE ACID WASH TEE,acid-wash,,Berserk,high,no,
dp-acid-wash-spiderverse,SPIDERVERSE ACID WASH TEE,acid-wash,,Marvel,high,no,
dp-drop-shoulder-sukuna,Sukuna Cursed Drop Shoulder Tee,drop-shoulder,Sukuna,Jujutsu Kaisen,high,no,
dp-acid-wash-konichiwa,Rockstar Tokyo Acid Wash Tee,acid-wash,,,none,yes,Contains flagged term 'rockstar tokyo'. Original / uncategorized design.
dp-regular-baby,CUPID VINTAGE REGULAR TEE,regular,,,none,yes,Contains flagged term 'cupid vintage'. Original / uncategorized design.
dp-acid-wash-aizen,AIZEN ACID WASH TEE,acid-wash,Aizen,Bleach,high,no,
dp-acid-wash-baby,Cupid Vintage Acid Wash Tee,acid-wash,,,none,yes,Contains flagged term 'cupid vintage'. Original / uncategorized design.
dp-acid-wash-batman,BATMAN ACID WASH TEE,acid-wash,Batman,DC,high,no,
dp-acid-wash-berserk,Guts Brand of Sacrifice Acid Wash Tee,acid-wash,Guts,Berserk,high,no,
dp-acid-wash-berserk-2,BERSERK 2 ACID WASH TEE,acid-wash,,Berserk,high,no,
dp-acid-wash-bleach,BLEACH ACID WASH TEE,acid-wash,,Bleach,high,no,
dp-acid-wash-bluelock,BLUELOCK ACID WASH TEE,acid-wash,,Blue Lock,high,no,
dp-acid-wash-chainsaw,Denji Chainsawman Acid Wash Tee,acid-wash,Denji,Chainsaw Man,high,no,
dp-acid-wash-chainsaw-2,Chainsawman Acid Wash Tee,acid-wash,,Chainsaw Man,high,no,
dp-acid-wash-curse,Choso Bloodline Acid Wash Tee,acid-wash,Choso,Jujutsu Kaisen,high,no,
dp-acid-wash-dark-knight,DARK KNIGHT ACID WASH TEE,acid-wash,Dark Knight,DC,high,no,
dp-acid-wash-dbz-2,Vegeta Super Saiyan Acid Wash Tee,acid-wash,Vegeta,Dragon Ball,high,no,
dp-acid-wash-dbz-3,Majin Vegeta 2.0 Acid Wash Tee,acid-wash,Vegeta,Dragon Ball,high,no,
dp-acid-wash-dbz-4,DBZ Goku Rage Acid Wash Tee,acid-wash,Goku,Dragon Ball,high,no,
dp-acid-wash-dbz-5,Goku Shenron Acid Wash Tee,acid-wash,Goku,Dragon Ball,high,no,
dp-acid-wash-dbz-6,Goku Ronin Acid Wash Tee,acid-wash,Goku,Dragon Ball,high,no,
dp-acid-wash-dbz-7,Goku Black Rebellion Acid Wash Tee,acid-wash,Goku,Dragon Ball,high,no,
dp-acid-wash-eye,Living the Dream Acid Wash Tee,acid-wash,,,none,yes,Contains flagged term 'living the dream'. Original / uncategorized design.
dp-acid-wash-eyes,Gojo Satoru Acid Wash Tee,acid-wash,Gojo,Jujutsu Kaisen,high,no,
dp-acid-wash-fire,Maki Oze Firepower Acid Wash Tee,acid-wash,Maki,Jujutsu Kaisen,high,yes,Contains flagged term 'maki oze'.
dp-acid-wash-goodfellas,GOODFELLAS ACID WASH TEE,acid-wash,GOODFELLAS,Cinema,high,no,
dp-acid-wash-hands,Kurapika Rage Acid Wash Tee,acid-wash,Kurapika,Hunter x Hunter,high,no,
dp-acid-wash-horns,Ichigo Hollow Acid Wash Tee,acid-wash,Ichigo,Bleach,high,no,
dp-acid-wash-kaijin,Garou Kaijin Acid Wash Tee,acid-wash,Garou,One Punch Man,high,no,
dp-acid-wash-luffy-1,Luffy Gear 5 Acid Wash Tee,acid-wash,Luffy,One Piece,high,no,
dp-acid-wash-luffy-2,Luffy Gear 5 2.0 Acid Wash Tee,acid-wash,Luffy,One Piece,high,no,
dp-acid-wash-luffy-3,Luffy Straw Hat Acid Wash Tee,acid-wash,Luffy,One Piece,high,no,
dp-acid-wash-luffy-4,Luffy Freedom Acid Wash Tee,acid-wash,Luffy,One Piece,high,no,
dp-acid-wash-madara,Madara Uchiha Acid Wash Tee,acid-wash,Madara,Naruto,high,no,
dp-acid-wash-mobland,Outlaw Acid Wash Tee,acid-wash,,,none,yes,Contains flagged term 'outlaw'. Original / uncategorized design.
dp-acid-wash-naruto-1,Naruto Eyes Acid Wash Tee,acid-wash,Naruto,Naruto,high,no,
dp-acid-wash-naruto-2,Madara 1 Acid Wash Tee,acid-wash,Naruto,Naruto,high,no,
dp-acid-wash-naruto-3,Itachi Uchiha Acid Wash Tee,acid-wash,Naruto,Naruto,high,no,
dp-acid-wash-naruto-4,Itachi Eclipse Acid Wash Tee,acid-wash,Naruto,Naruto,high,no,
dp-acid-wash-naruto-5,Naruto 3 Acid Wash Tee,acid-wash,Naruto,Naruto,high,no,
dp-acid-wash-peter,Peter Parker Great Power Acid Wash Tee,acid-wash,Peter Parker,Marvel,high,no,
dp-acid-wash-sakuna,Sukuna Cursed Acid Wash Tee - Dark Edition,acid-wash,Sukuna,Jujutsu Kaisen,high,no,
dp-acid-wash-shoot,Kaneki Reaper Acid Wash Tee,acid-wash,Kaneki,Tokyo Ghoul,high,no,
dp-acid-wash-solo-1,Solo Leveling Acid Wash Tee,acid-wash,,Solo Leveling,high,no,
dp-acid-wash-solo-2,Arise Solo Leveling Acid Wash Tee,acid-wash,,Solo Leveling,high,no,
dp-acid-wash-sukuna,Sukuna Cursed Acid Wash Tee - Mineral Grey Edition,acid-wash,Sukuna,Jujutsu Kaisen,high,no,
dp-acid-wash-zoro-1,Zoro Ronin Acid Wash Tee,acid-wash,Zoro,One Piece,high,no,
dp-acid-wash-zoro-3,Fire Fist Ace Acid Wash Tee,acid-wash,Zoro,One Piece,high,no,
dp-drop-shoulder-ace,Fire Fist Ace Drop Shoulder Tee,drop-shoulder,Ace,One Piece,high,no,
dp-drop-shoulder-aizen,AIZEN DROP SHOULDER TEE,drop-shoulder,Aizen,Bleach,high,no,
dp-drop-shoulder-arise,Solo Leveling Arise Drop Shoulder Tee,drop-shoulder,,Solo Leveling,high,no,
dp-drop-shoulder-batman-grye,Batman Noir Drop Shoulder Tee,drop-shoulder,Batman,DC,high,no,
dp-drop-shoulder-berserk-2,Guts Brand of Sacrifice Drop Shoulder Tee,drop-shoulder,Guts,Berserk,high,no,
dp-drop-shoulder-berserk-black-1,Guts Berserker Armor Drop Shoulder Tee,drop-shoulder,Guts,Berserk,high,no,
dp-drop-shoulder-bleach,BLEACH DROP SHOULDER TEE,drop-shoulder,,Bleach,high,no,
dp-drop-shoulder-bluelock,BLUELOCK DROP SHOULDER TEE,drop-shoulder,,Blue Lock,high,no,
dp-drop-shoulder-chainsaw-1,Denji Chainsaw Man Drop Shoulder Tee,drop-shoulder,Denji,Chainsaw Man,high,no,
dp-drop-shoulder-chainsaw-2,Chainsawman Drop Shoulder Tee,drop-shoulder,,Chainsaw Man,high,no,
dp-drop-shoulder-curse,Choso Bloodline Drop Shoulder Tee,drop-shoulder,Choso,Jujutsu Kaisen,high,no,
dp-drop-shoulder-curse-whtie,Sukuna Cursed Inscription Drop Shoulder Tee,drop-shoulder,Sukuna,Jujutsu Kaisen,high,no,
dp-drop-shoulder-dark-knight,DARK KNIGHT DROP SHOULDER TEE,drop-shoulder,Dark Knight,DC,high,no,
dp-drop-shoulder-dbz-1,Vegeta Super Saiyan Drop Shoulder Tee,drop-shoulder,Vegeta,Dragon Ball,high,no,
dp-drop-shoulder-dbz-2,Majin Vegeta 1.0 Drop Shoulder Tee,drop-shoulder,Vegeta,Dragon Ball,high,no,
