query,cluster,intent,target_url,current_title,current_impressions,current_clicks,current_ctr,current_position,competitor_examples,change_needed,last_changed,next_review
anime t-shirts pakistan,anime-apparel,commercial,https://deezprints.com/collections/anime-archive,Anime T-Shirts & Streetwear in Pakistan — Naruto One Piece JJK DBZ | Deez Prints,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Surteez | TPLEX | HavenWear,Enrich PDP entities and collection metadata,2026-09-20,2026-10-20
anime oversized t shirt pakistan,fit-style,commercial,https://deezprints.com/collections/drop-shoulder,Drop Shoulder T-Shirts in Pakistan — 240+ GSM Oversized Graphic Tees | Deez Prints,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Surteez | Teetwo | Groovy,Highlight 240+ GSM combed cotton in metadata,2026-09-20,2026-10-20
acid wash t shirt pakistan,wash-style,commercial,https://deezprints.com/collections/acid-wash,Acid Wash T-Shirts in Pakistan — Vintage Mineral Wash Anime & Graphic Tees | Deez Prints,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Surteez (mineral dyed),Promote unique hand-dyed mineral wash finish,2026-09-20,2026-10-20
drop shoulder t shirts pakistan,fit-style,commercial,https://deezprints.com/collections/drop-shoulder,Drop Shoulder T-Shirts in Pakistan — 240+ GSM Oversized Graphic Tees | Deez Prints,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Chief Apparel | Skribi | Teetwo,Reinforce drop-shoulder relaxed cut,2026-09-20,2026-10-20
one piece t shirt pakistan,franchise,commercial,https://deezprints.com/collections/anime-archive,Anime T-Shirts & Streetwear in Pakistan — Naruto One Piece JJK DBZ | Deez Prints,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dripzada | Shopellium,Maintain detailed Luffy and Zoro PDP descriptions,2026-09-20,2026-10-20
naruto t shirt pakistan,franchise,commercial,https://deezprints.com/collections/anime-archive,Anime T-Shirts & Streetwear in Pakistan — Naruto One Piece JJK DBZ | Deez Prints,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,HavenWear | TPLEX,Itachi and Madara character-specific descriptions,2026-09-20,2026-10-20
berserk t shirt pakistan,franchise,commercial,https://deezprints.com/products/dp-acid-wash-berserk,Guts Brand of Sacrifice Berserk Acid Wash T-Shirt in Pakistan | Deez Prints,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,HavenWear,Guts and Skull Blade PDP copy optimization,2026-09-20,2026-10-20
jujutsu kaisen t shirt pakistan,franchise,commercial,https://deezprints.com/collections/anime-archive,Anime T-Shirts & Streetwear in Pakistan — Naruto One Piece JJK DBZ | Deez Prints,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dripzada (Sukuna/Gojo),Sukuna Cursed drop-shoulder and acid wash coverage,2026-09-20,2026-10-20
anime wall tapestry pakistan,tapestry,commercial,https://deezprints.com/collections/tapestries,Anime & Movie Wall Tapestries in Pakistan | Deez Prints,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Kafka.pk | Ibrelia,Satin wall hanging and room decor PDP facts,2026-09-20,2026-10-20
custom t-shirt printing karachi,custom-service,commercial,https://deezprints.com/custom-print,Custom T-Shirt Printing in Karachi — DTF Printing Across Pakistan | Deez Prints,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PrintsPK | Aprints | XL DTF,Highlight DTF quality 300 DPI and local Karachi service,2026-09-20,2026-10-20
dtf printing karachi,custom-service,commercial,https://deezprints.com/custom-print,Custom T-Shirt Printing in Karachi — DTF Printing Across Pakistan | Deez Prints,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MA Printers | CustomClothing.PK,Link DTF care guide to service landing page,2026-09-20,2026-10-20
